address,balance
bc1qd5x0kfmudzk6eg39866vvfzqyxfjsha2fd8s7u,0.0023865
bc1qekx52sf6k30d3ka8mdafmj8jmn999cr87gx6en,0.00152054
bc1py8uwh53h0eq9xler6gd0h89s9gmzhh4xrs36n9w3hpn963e6jp0qrahxxv,0.00600063
bc1qxznh20rq8na6hy2fhv0l5duuzh5yy09vulfk62,0.0109648
18gNC51Yrw3bx4fMu8jKwrXXV8L1d3Tgup,0.220625
bc1q6u2jtd5fuzvdcyx3s5jrx0afmpw5e0ny8vv2dg,0.00823162
bc1qdh4z0e2wk7r24gu0e4gmu4y68xky5w3s7672sd,0.00029041
bc1q6632536g3k8z46wzlu8gh9635uyavhl6zm79qj,0.210455
32GGPxAzHutCK88XoapL4dHpSc547QTWsw,0.00059452
bc1qhfs2v7w0aa7f00lzsx0436028uxx92s0yzq4p4,0.0269143
bc1qhl7llvt5wslljjcvupypvxvu0wfyy2hw5knnpc,0.002541
1BwRNjVTH3NNEtsNTURSwnPMmD2RGLqLUt,0.00492529
bc1qvslct460zv985aln0xdxyghff0523qn53p5m6a,0.00010654
bc1qqdcl584wgqyhw7hle74s7a037nvsencugcmq7g,0.00177537
3B8r83Wvv3qrpRCeJHxDCigR1dCoLjEQgs,0.0630753
bc1qlnln03l8rjzcfqv5stdjc9ave2s5ychee93trs,0.0133351
bc1pyx9eshq9dv9l4ya4sn94q9m29ulz4cglqyujjzky06hyfj0clqqs48q8md,0.0090133
bc1qgj2swnz86xw3rcjhkmypy0slppfru4a2rvt5xu,0.00750982
bc1qtkjadmdnqdgfulupu2a9ucgxe9cxn5679fy20psp3naej3cr2zjsva2nsq,0.00042033
bc1ph7t42ssse038v53e7ycl0c5gwmxns5a2h4lchetvmnuxm4zjy4nsh8650e,0.00654042
16MDM143sJtekz5HhSvJUnvPE5YTvqr9u6,0.012061
bc1qmuc9psmxcuwnvwd93el4gnsnts8fz0ly8z6pvr,0.00137125
3Dv2Xs7gZaLeg5CXgzo7bkMmDcVPvbz5as,0.124871
bc1qacgftrtec9mxq7l4v9sk297f68qacrehr0wsjq,0.00122091
13miDKZCPkrNSEL1KYS3FfRNS4uBRY3kwv,0.006626
